"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","63","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","104","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","43","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_SceneryObjects.M_SceneryObjects","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/NewMaterial.NewMaterial","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/M_SceneryObjects.M_SceneryObjects","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/M_Noise.M_Noise","0","0","14","1","0.000000","0","0"
"/Game/Materials/PostProcessing/M_PP_GaussianBlur.M_PP_GaussianBlur","0","0","6","1","0.000000","0","0"
"/Game/Materials/PostProcessing/M_PP_EdgeDetector.M_PP_EdgeDetector","0","0","14","1","0.000000","0","0"
"/Game/Materials/PostProcessing/M_PP_CelShading.M_PP_CelShading","0","0","6","1","0.000000","0","0"
"/Game/Materials/Material4.Material4","0","0","14","1","0.000000","0","0"
"/Game/Materials/Material3.Material3","0","0","14","1","0.000000","0","0"
"/Game/Materials/Material2.Material2","0","0","14","1","0.000000","0","0"
"/Game/Materials/Material1.Material1","0","0","14","1","0.000000","0","0"
"/Game/Materials/Material.Material","0","0","14","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","132","2","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","13","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","13","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","102","3","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","104","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","56","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","101","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","167","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1288","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","66","6","0.000000","0","9"
"/Game/Materials/PostProcessing/M_Blur.M_Blur","0","0","6","1","0.000000","0","0"
"/Game/Materials/RenderTargets/M_RenderImage.M_RenderImage","0","0","11","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_Urchin.M_Urchin","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_SmallCandyCane.M_SmallCandyCane","0","0","28","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_SmallPocky.M_SmallPocky","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_Skull.M_Skull","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_PlatformCoral.M_PlatformCoral","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_Pebble.M_Pebble","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_MediumPocky.M_MediumPocky","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_Lollipop.M_Lollipop","0","0","28","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_LargePocky.M_LargePocky","0","0","28","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_JellyStarfish.M_JellyStarfish","0","0","28","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/Eugene/M_Eugene_Helmet.M_Eugene_Helmet","0","0","24","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/Eugene/M_Eugene_Body.M_Eugene_Body","0","0","31","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/M_Eugene.M_Eugene","0","0","16","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_Shrimp.M_Shrimp","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_otter.M_otter","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_CrepeRay.M_CrepeRay","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_CoralClump2.M_CoralClump2","0","0","28","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/SceneObjects/M_CoralClump.M_CoralClump","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/M_BCandyCane.M_BCandyCane","0","0","14","1","0.000000","0","0"
"/Game/Materials/SurfaceMaterial/M_Rock.M_Rock","0","0","14","1","0.000000","0","0"
"/Game/Materials/Terrain/M_LS_Test.M_LS_Test","0","0","164","6","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
